Position,title,link,_3,_4,_5,_6
1,"#233 – AMA #42: Optimizing sleep – bedtime routine, molecule regimen, sleep trackers, sauna, & more",https://peterattiamd.com/ama42/
3,"#221 ‒ Understanding sleep and how to improve it",https://peterattiamd.com/understanding-sleep/
5,"The connection between sleep and Alzheimer’s disease",https://peterattiamd.com/the-connection-between-sleep-and-alzheimers-disease/
6,"The connection between sleep and heart disease",https://peterattiamd.com/the-connection-between-sleep-and-heart-disease/
7,"Fighting cancer and improving immune function with sleep",https://peterattiamd.com/fighting-cancer-improving-immune-function-with-sleep/
8,"Why sleep is the best insurance policy for lifespan and healthspan",https://peterattiamd.com/sleep-best-insurance-policy-lifespan-healthspan/
12,"How is appetite affected by our sleep quality?",https://peterattiamd.com/how-is-appetite-affected-by-our-sleep-quality/
13,"Alcohol, sleep, and stress: A self-fulfilling prophecy",https://peterattiamd.com/alcohol-sleep-and-stress/
16,"Do THC and CBD help you sleep?",https://peterattiamd.com/do-thc-and-cbd-help-you-sleep/
17,"Stress, Cortisol, and Sleep Deprivation: An Awful Feedback Loop",https://peterattiamd.com/stress-cortisol-and-sleep-an-awful-feedback-loop/
18,"Qualys #168 – Sleep and insulin resistance with Matthew Walker, Ph.D.",https://peterattiamd.com/qualys-168-sleep-and-insulin-resistance-with-matthew-walker-ph-d/
20,"What’s the #1 habit Peter would suggest every person add to their daily regimen?",https://peterattiamd.com/whats-the-1-habit-peter-would-suggest-every-person-add-to-their-daily-regimen/
22,"#132 – AMA #16: Exploring hot and cold therapy",https://peterattiamd.com/ama16/
23,"#127 – AMA #3 with sleep expert, Matthew Walker, Ph.D.: Fasting, gut health, blue light, caffeine, REM sleep, and more",https://peterattiamd.com/matthewwalkerama3/
24,"#126 – Matthew Walker, Ph.D.: Sleep and immune function, chronotypes, hygiene tips, and addressing questions about his book",https://peterattiamd.com/matthewwalker4/
27,"Qualy #129 – Evolutionary reasons to sleep",https://peterattiamd.com/qualy-129-evolutionary-reasons-to-sleep/
30,"A new year",https://peterattiamd.com/a-new-year/
31,"#77 – AMA #2 with sleep expert, Matthew Walker, Ph.D.: short sleep mutants, optimal sleep environment, sleep apnea, & rapid fire questions",https://peterattiamd.com/matthewwalkerama2/
33,"#58 – AMA with sleep expert, Matthew Walker, Ph.D.: Strategies for sleeping more, sleeping better, and avoiding things that are disrupting sleep",https://peterattiamd.com/matthewwalkerama/
35,"The Sound of Silence",https://peterattiamd.com/the-sound-of-silence/
36,"#54 – Kevin Sayer, CEO of Dexcom: Continuous glucose monitors – impact of food, sleep, and stress on glucose, the unmatched power of CGM to drive behavioral change, and the exciting future of CGM",https://peterattiamd.com/kevinsayer/
37,"#51 – Robert Sapolsky, Ph.D.: The pervasive effect of stress – is it killing you?",https://peterattiamd.com/robertsapolsky/
38,"#49 – Matthew Walker, Ph.D., on sleep – Part III of III: The penetrating effects of poor sleep from metabolism to performance to genetics, and the impact of caffeine, alcohol, THC, and CBD on sleep",https://peterattiamd.com/matthewwalker3/
39,"#48 – Matthew Walker, Ph.D., on sleep – Part II of III: Heart disease, cancer, sexual function, and the causes of sleep disruption (and tips to correct it)",https://peterattiamd.com/matthewwalker2/
40,"#47 – Matthew Walker, Ph.D., on sleep – Part I of III: Dangers of poor sleep, Alzheimer’s risk, mental health, memory consolidation, and more",https://peterattiamd.com/matthewwalker1/
41,"#45 – AMA #4: sleep, jet lag protocol, autophagy, metformin, and more",https://peterattiamd.com/ama04/
42,"#26 – AMA #3: supplements, women’s health, patient care, and more,"https://peterattiamd.com/ama03/
43,"The importance of sleep",https://peterattiamd.com/the-importance-of-sleep/
44,"#11 – AMA #2: the Nothingburger — results from Peter’s week-long fast between two weeks of nutritional ketosis — and answering questions on all things fasting",https://peterattiamd.com/ama02/
45,"Down the rabbit hole",https://peterattiamd.com/down-the-rabbit-hole/